Statistik Penting ,,2017,2018,2019,2020,2021,2022,2023,2024
Key Statistics,,,,,,,,,
,,,,,,,,,
"Jumlah Perbelanjaan (RM juta)
Total Expenditure (RM million)",,"83,103","92,561","103,184","40,424","18,410","64,080","84,932","106,746"
"Pelawat Domestik
Domestic Visitors",,"73,662","82,741","92,638","38,635","17,451","59,217","78,676","98,446"
"Isi Rumah yang Dilawati
Visited Households",,"9,440","9,820","10,546","1,790",959,"4,863","6,256","8,300"
"Peratus Perubahan Tahunan (%)
Annual Percentage Change",,11.1,11.4,11.5,-60.8,-54.5,248.1,32.5,25.7
"Jumlah Pelawat (’000)
Number of Visitors",,"205,408","221,272","239,121","131,660","65,976","171,603","213,744","260,126"
"Peratus Perubahan Tahunan (%)
Annual Percentage Change     ",,8.5,7.7,8.1,-44.9,-49.9,160.1,24.6,21.7
"Jumlah Perjalanan Pelancongan (’000)
Number of Tourism Trips",,"276,147","302,415","332,378","146,990","72,399","207,785","241,474","297,853"
"Peratus Perubahan Tahunan (%)
Annual Percentage Change",,8.8,9.5,9.9,-55.8,-50.7,187.0,16.2,23.3
"Purata Bilangan Hari Menginap
Average Length of Stay",,2.35,2.44,2.52,1.93,2.19,2.55,2.45,2.49
"Peratus Perubahan Tahunan (%)
Annual Percentage Change",,1.7,4.0,3.1,-23.4,13.2,16.6,-4.0,1.9
"Purata Perbelanjaan per Perjalanan (RM)                                             
Average Expenditure per Trip (RM)",,300.9364544,306,310,275,254,308,352,358
"Peratus Perubahan Tahunan (%)
Annual Percentage Change",,2.4,1.7,1.3,-11.3,-7.5,21.3,14.0,1.9
